Gene,d2-d1_FC,d23-d22_FC,d8-d1_FC,d23-d22-d2-d1_FC,d2-d1_logFC,d23-d22_logFC,d8-d1_logFC,d23-d22-d2-d1_logFC,d2-d1_tstat,d23-d22_tstat,d8-d1_tstat,d23-d22-d2-d1_tstat,d2-d1_pval,d23-d22_pval,d8-d1_pval,d23-d22-d2-d1_pval,d2-d1_adjpval,d23-d22_adjpval,d8-d1_adjpval,d23-d22-d2-d1_adjpval
IFN-gamma,2.35271547911292,22.0034225613744,1.08596377332562,9.35235167903548,1.23432686170462,4.45965604265,0.118975977069339,3.22532918094539,6.2208857481682,22.2730930604218,0.595706574857413,11.4422539765967,2.39391212970705e-09,9.33582838881704e-59,0.551971738700741,3.50788454027654e-24,7.58072174407233e-09,1.77380739387524e-57,0.616909590312593,6.66498062652542e-23
IL-6,1.15608274355595,1.45823374431294,1.07190595334447,1.26135759091742,0.209244658604857,0.54422199177223,0.100178332478953,0.334977333167373,4.69831894735784,12.1128364143237,2.2346678016375,5.29519034644752,4.56286168133593e-06,2.4388566554032e-26,0.0264204933373447,2.82018266815161e-07,1.23849102779118e-05,1.15845691131652e-25,0.0627486716761938,8.93057844914675e-07
IL-8,3.0095309528089,1.02077198420137,3.79117901800188,-2.94828913742523,1.58953865483004,0.0296606389877603,1.92264658161691,-1.55987801584228,9.39035852538383,0.173689367125155,11.2839615713154,-6.48753566195399,6.85311941364265e-18,0.862265515297731,1.06005319549576e-23,5.46649270308209e-10,6.35620908499038e-17,0.862265515297731,2.01410107144194e-22,2.59658403396399e-09
TNF-alpha,1.02065666089085,1.16097297526303,1.0242468296619,1.13747650875047,0.0294976390526249,0.215334390026236,0.0345634272696298,0.185836750973611,0.821288754120061,5.94297171003298,0.956040911037772,3.64265686858231,0.41234981740103,1.05438988581393e-08,0.340076037820176,0.000334865163578458,0.435258140589976,2.22593420338497e-08,0.538839904381833,0.000706937567554522
IL-12IL-23p40,-1.05789579731252,1.06062179018233,-1.01874736278617,1.12202733437198,-0.0811975290548625,0.0849102936677273,-0.0267963246686316,0.16610782272259,-2.28536463583156,2.36894338552879,-0.749271094340539,3.29140114279289,0.0232214274965771,0.0186835442359075,0.454475243612741,0.00115709958319057,0.0401097384031786,0.0253562386058745,0.616787830617291,0.00199862655278371
IL-15,1.03154665630967,1.32214063888918,1.00578324542919,1.28170706657041,0.0448090750337522,0.402875647523512,0.00831942598057012,0.35806657248976,1.39755829011109,12.4588522737764,0.25770851212948,7.86334407053118,0.163632364976969,2.11817395385252e-27,0.796869160729437,1.58278463456877e-13,0.194313433410151,1.34151017077326e-26,0.84113966965885,1.50364540284033e-12
IL-16,1.66466907186324,1.02926627851268,1.45808577673517,-1.61733567553456,0.735235405023943,0.0416162659958808,0.544075593485424,-0.693619139028062,9.3343820521423,0.52372574156193,6.8622962457167,-6.19952290313724,1.00361196078796e-17,0.600983976014364,6.47691047652644e-11,2.67161357998211e-09,6.35620908499038e-17,0.671687973192524,4.10204330180008e-10,1.0152131603932e-08
IL-7,-1.134608884627,1.35209770317524,-1.05713464926898,1.53410206690638,-0.182195066280928,0.43519940516559,-0.0801591472604182,0.617394471446518,-2.18619624104504,5.17633617187999,-0.955557173844966,5.21546826911891,0.0298308755586302,5.00496371255529e-07,0.340319939609579,4.14790698702157e-07,0.0435989719703057,8.64493732168642e-07,0.538839904381833,1.12586046790586e-06
VEGF-A,1.25851411767839,1.27194209072792,1.23303096946325,1.01066970394761,0.331721400360926,0.347032988765769,0.302209035693669,0.0153115884048436,3.08884713268861,3.20313568267652,2.79564117679248,0.100373995510866,0.00226185430331506,0.0015559010035682,0.00562662726544799,0.920136655130776,0.00429752317629861,0.00227400915906121,0.017817653007252,0.965438351375491
CRP,1.5002943653932,2.53445608950113,1.22014750506724,1.6893058775415,0.585245592606562,1.34167616885627,0.287055567431921,0.756430576249713,3.93205109895672,8.93532506287438,1.91601115707319,3.57789933322623,0.000112122231462916,1.47988091740596e-16,0.0566290558217313,0.000423963952782491,0.000236702488643934,5.62354748614267e-16,0.119550228956988,0.000805531510286733
SAA,1.16086077364022,1.610947845707,-1.01228049506806,1.387718391634,0.215194954784568,0.687909787677107,-0.0176091050255138,0.472714832892539,1.74361477089577,5.52499122330059,-0.141744689201022,2.69647081817257,0.0825900116958105,9.06112032067997e-08,0.887408310972005,0.00753704932119649,0.104614014814693,1.72161286092919e-07,0.887408310972005,0.011015687469441
IL-1Ra,1.65059013249582,1.65724362025697,1.33989729338205,1.00403097512227,0.722981920841187,0.728785699060104,0.422122418588117,0.00580377821891709,7.67677149493362,7.66845334288634,4.45164349909412,0.0433787762735247,5.0456917873603e-13,5.31146726404431e-13,1.34570197690232e-05,0.965438351375491,2.39670359899614e-12,1.44168397166917e-12,6.39208439028601e-05,0.965438351375491
IL-3,-1.00320823491173,1.13502725654057,-1.07411843362707,1.13866869061077,-0.00462109577406844,0.182726942805849,-0.103153075433457,0.187348038579917,-0.055127382840322,2.16013928288684,-1.22218055376927,1.5732106134911,0.956086261281872,0.0318264961690027,0.222927592575065,0.117085513261041,0.956086261281872,0.04031356181407,0.423562425892624,0.130860279527045
Eotaxin,1.0838867472173,-1.07063415635232,1.09453466069268,-1.16044617318846,0.116214020747364,-0.09846558467948,0.130317641149906,-0.214679605426844,2.11505729480444,-1.77635483699069,2.35623106593873,-2.75063166510142,0.0355232986439594,0.0770236580867459,0.0193189839574377,0.00643134939704022,0.048210191016802,0.0914655939780107,0.052437242170188,0.010182969878647
IP-10,2.12743396986521,4.13247628057429,-1.04240581887725,1.94246982003212,1.08911435502459,2.04700653881679,-0.0599170423973501,0.957892183792199,11.4402948762311,21.3139830348515,-0.625266501489267,7.08367139282276,3.39753771613446e-24,6.20886458460441e-56,0.532428816771348,1.77475059054149e-11,6.45532166065548e-23,5.89842135537419e-55,0.616909590312593,1.12400870734294e-10
MCP-1,1.05980663569302,1.45381898754095,1.04099203204167,1.37177758524816,0.0838010655675241,0.539847653003214,0.0579590260072056,0.45604658743569,1.0012133410185,6.3933716957067,0.68793787974858,3.83587404051103,0.317797538647557,9.23071936432471e-10,0.492199393055638,0.000162453081289485,0.355185484370799,2.19229584902712e-09,0.616909590312593,0.000385826068062527
MDC,-1.06864814093539,1.00943442380932,-1.02467632960649,1.07873022040002,-0.0957869149032753,0.0135471914836529,-0.0351682693266913,0.109334106386928,-2.21968491442202,0.311183143456413,-0.80963113203756,1.78368781235788,0.0274365227783081,0.755949064229547,0.419006268771134,0.0758200781702394,0.0434411610656545,0.797946234464522,0.612393777434735,0.0960387656823032
MIP-1alpha,2.38884515748488,1.7937840642464,2.43424804937658,-1.33173507619964,1.25631334279864,0.843006229058134,1.28347618587085,-0.413307113740506,6.86835791511072,4.56843425554026,6.97097971858505,-1.59076441359713,6.25343076929967e-11,8.09186052954374e-06,3.44110973804589e-11,0.113064440187837,2.37630369233387e-10,1.28121125051109e-05,3.2690542511436e-10,0.130860279527045
MIP-1beta,1.28245750188319,1.58530422352005,1.27837536434906,1.23614561979025,0.358911018551058,0.664759723423281,0.3543115113808,0.305848704872223,4.39632739696687,8.07141325473867,4.31161085132387,2.6374723901452,1.69674858126314e-05,4.13897709062908e-14,2.42358035284273e-05,0.00893431891889349,4.02977788049996e-05,1.31067607869921e-13,9.20960534080239e-05,0.0121251471042126
